Designator           , Footprint                        , Quantity, Value                , LCSC Part #
"C1, C10, C2, C4, C7", 0402                             ,        5, 100n                 , C1525
"C11, C12"           , 0805                             ,        2, 2.2n                 , C28260
"C3, C6, C9"         , 0603                             ,        3, 10u                  , C19702
"C5, C8"             , 0402                             ,        2, 2.2u                 , C12530
D1                   , D_SOD-323                        ,        1, BAT60JFILM           , C133103
D2                   , SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,        1, USBLC6-2SC6          , C7519
FB1                  , 0603                             ,        1, GZ1608D601TF         , C1002
J1                   , USB-A-SMD_USB-M-21               ,        1, USB_HOST             , C42474
J2                   , AUDIO-SMD_PJ-342                 ,        1, LINE OUT             , C668606
"R1, R4, R5"         , 0402                             ,        3, 22                   , C25092
"R2, R3"             , 0402                             ,        2, 5.1k                 , C25905
R6                   , 0402                             ,        1, 10k                  , C25744
"R7, R8"             , 0402                             ,        2, 470                  , C25117
U2                   , SOT-23-3                         ,        1, XC6206P332MR-G       , C5446
U3                   , TSSOP-20_4.4x6.5mm_P0.65mm       ,        1, PCM5102A             , C107671
USB1                 , USB-C-SMD_TYPE-C-16PIN           ,        1, TYPE-C 16PIN 2MD(073), C2765186
